,ID,Name,Average Speed,Start of Operation Time,End of Operation Time,Total Time in Service,Total Inactive Time,Total Cash Earned,Total Distance Travelled,Number of Trips Taken,Additional Info
0,4,Auto #4,30,0.0,[ 261.07365785],[ 261.07365785],[ 255.93005573],79.2409336097,11.5352936133,2,
1,3,Auto #3,30,0.0,261.1,261.1,158.06199979782104,25.0,0.951844229826,1,
2,1,Auto #1,30,0.0,[ 261.26667721],[ 261.26667721],98.0939998626709,25.0,2.49140416194,1,
3,6,Auto #6,30,0.0,[ 261.53265562],[ 261.53265562],175.38899993896484,55.3013514219,8.32876448884,1,
4,2,Auto #2,30,0.0,[ 261.92161722],[ 261.92161722],98.0939998626709,35.8957777954,5.55653968505,1,
5,5,Auto #5,30,0.0,[ 261.96468121],[ 261.96468121],[ 255.34409687],164.229273142,24.6069553532,2,
6,8,Auto #8,30,0.0,[ 261.98775244],[ 261.98775244],[ 430.51522939],173.697982218,26.3669433872,3,
7,11,Auto #11,30,0.0,262,262.0,0,0.0,0.0,0,
8,12,Auto #12,30,0.0,262,262.0,0,0.0,0.0,0,
9,13,Auto #13,30,0.0,262,262.0,0,0.0,0.0,0,
10,14,Auto #14,30,0.0,262,262.0,0,0.0,0.0,0,
11,15,Auto #15,30,0.0,262,262.0,0,0.0,0.0,0,
12,7,Auto #7,30,0.0,[ 262.44085763],[ 262.44085763],175.38899993896484,90.4372550876,13.3481792982,1,
13,9,Auto #9,30,0.0,[ 265.88869359],[ 265.88869359],175.38899993896484,92.3339666437,13.619138092,1,
14,10,Auto #10,30,0.0,[ 295.10440918],[ 295.10440918],[ 332.59058654],206.244621631,30.4458876664,2,
